Metodo,I1,I2,Ix,Etapas
Eliminação de Gauss,3.658536585365854,12.195121951219512,-0.0,2
Fatoração LU,3.658536585365854,12.195121951219512,-0.0,8
Gauss-Jordan,3.658536585365854,12.19512195121951,-0.0,3
