t,Solução Exata,Euler,Erro Absoluto Euler,Erro Relativo Euler,Heun,Erro Absoluto Heun,Erro Relativo Heun,Ponto Médio,Erro Absoluto Ponto Médio,Erro Relativo Ponto Médio,RK4,Erro Absoluto RK4,Erro Relativo RK4
0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5.0,49.375,50.0,0.625,0.012658,49.358974,0.016026,0.000325,49.367089,0.007911,0.00016,49.374997,3e-06,0.0
10.0,97.5,98.717949,1.217949,0.012492,97.468338,0.031662,0.000325,97.484372,0.015628,0.00016,97.499995,5e-06,0.0
15.0,144.375,146.153846,1.778846,0.012321,144.32809,0.04691,0.000325,144.35185,0.02315,0.00016,144.374992,8e-06,0.0
20.0,190.0,192.307692,2.307692,0.012146,189.938229,0.061771,0.000325,189.969523,0.030477,0.00016,189.999989,1.1e-05,0.0
25.0,234.375,237.179487,2.804487,0.011966,234.298755,0.076245,0.000325,234.337389,0.037611,0.00016,234.374986,1.4e-05,0.0
30.0,277.5,280.769231,3.269231,0.011781,277.409665,0.090335,0.000326,277.455449,0.044551,0.000161,277.499983,1.7e-05,0.0
35.0,319.375,323.076923,3.701923,0.011591,319.270959,0.104041,0.000326,319.323703,0.051297,0.000161,319.37498,2e-05,0.0
40.0,360.0,364.102564,4.102564,0.011396,359.882635,0.117365,0.000326,359.942148,0.057852,0.000161,359.999977,2.3e-05,0.0
45.0,399.375,403.846154,4.471154,0.011195,399.244691,0.130309,0.000326,399.310786,0.064214,0.000161,399.374973,2.7e-05,0.0
50.0,437.5,442.307692,4.807692,0.010989,437.357124,0.142876,0.000327,437.429615,0.070385,0.000161,437.499969,3.1e-05,0.0
