x,Solução Analítica,Shooting,Erro Absoluto
0.0,40.0,40.0,0.0
0.909091,51.635381,51.635379,1e-06
1.818182,63.532391,63.532388,3e-06
2.727273,75.789421,75.789416,5e-06
3.636364,88.507839,88.507831,7e-06
4.545455,101.792826,101.792816,1e-05
5.454545,115.754254,115.75424,1.4e-05
6.363636,130.507583,130.507565,1.9e-05
7.272727,146.174828,146.174804,2.4e-05
8.181818,162.885559,162.885527,3.1e-05
9.090909,180.777975,180.777935,4e-05
10.0,200.00005,200.0,5e-05
