t,Solução Exata,Euler,Erro Absoluto Euler,Erro Relativo Euler,Heun,Erro Absoluto Heun,Erro Relativo Heun,Ponto Médio,Erro Absoluto Ponto Médio,Erro Relativo Ponto Médio,RK4,Erro Absoluto RK4,Erro Relativo RK4
0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
1.0,9.975,10.0,0.025,0.002506,9.974874,0.000126,1.3e-05,9.974937,6.3e-05,6e-06,9.975,0.0,0.0
2.0,19.9,19.949749,0.049749,0.0025,19.899749,0.000251,1.3e-05,19.899875,0.000125,6e-06,19.9,0.0,0.0
3.0,29.775,29.849246,0.074246,0.002494,29.774625,0.000375,1.3e-05,29.774813,0.000187,6e-06,29.775,0.0,0.0
4.0,39.6,39.698492,0.098492,0.002487,39.599501,0.000499,1.3e-05,39.599751,0.000249,6e-06,39.6,0.0,0.0
5.0,49.375,49.497487,0.122487,0.002481,49.374378,0.000622,1.3e-05,49.37469,0.00031,6e-06,49.375,0.0,0.0
6.0,59.1,59.246231,0.146231,0.002474,59.099256,0.000744,1.3e-05,59.099629,0.000371,6e-06,59.1,0.0,0.0
7.0,68.775,68.944724,0.169724,0.002468,68.774134,0.000866,1.3e-05,68.774568,0.000432,6e-06,68.775,0.0,0.0
8.0,78.4,78.592965,0.192965,0.002461,78.399012,0.000988,1.3e-05,78.399507,0.000493,6e-06,78.4,0.0,0.0
9.0,87.975,88.190955,0.215955,0.002455,87.973892,0.001108,1.3e-05,87.974447,0.000553,6e-06,87.975,0.0,0.0
10.0,97.5,97.738693,0.238693,0.002448,97.498772,0.001228,1.3e-05,97.499387,0.000613,6e-06,97.5,0.0,0.0
11.0,106.975,107.236181,0.261181,0.002442,106.973652,0.001348,1.3e-05,106.974328,0.000672,6e-06,106.975,0.0,0.0
12.0,116.4,116.683417,0.283417,0.002435,116.398534,0.001466,1.3e-05,116.399269,0.000731,6e-06,116.4,0.0,0.0
13.0,125.775,126.080402,0.305402,0.002428,125.773416,0.001584,1.3e-05,125.77421,0.00079,6e-06,125.775,0.0,0.0
14.0,135.1,135.427136,0.327136,0.002421,135.098298,0.001702,1.3e-05,135.099151,0.000849,6e-06,135.1,0.0,0.0
15.0,144.375,144.723618,0.348618,0.002415,144.373181,0.001819,1.3e-05,144.374093,0.000907,6e-06,144.375,0.0,0.0
16.0,153.6,153.969849,0.369849,0.002408,153.598065,0.001935,1.3e-05,153.599035,0.000965,6e-06,153.6,0.0,0.0
17.0,162.775,163.165829,0.390829,0.002401,162.772949,0.002051,1.3e-05,162.773977,0.001023,6e-06,162.775,0.0,0.0
18.0,171.9,172.311558,0.411558,0.002394,171.897834,0.002166,1.3e-05,171.89892,0.00108,6e-06,171.9,0.0,0.0
19.0,180.975,181.407035,0.432035,0.002387,180.97272,0.00228,1.3e-05,180.973863,0.001137,6e-06,180.975,0.0,0.0
20.0,190.0,190.452261,0.452261,0.00238,189.997606,0.002394,1.3e-05,189.998806,0.001194,6e-06,190.0,0.0,0.0
21.0,198.975,199.447236,0.472236,0.002373,198.972493,0.002507,1.3e-05,198.97375,0.00125,6e-06,198.975,0.0,0.0
22.0,207.9,208.39196,0.49196,0.002366,207.89738,0.00262,1.3e-05,207.898694,0.001306,6e-06,207.9,0.0,0.0
23.0,216.775,217.286432,0.511432,0.002359,216.772269,0.002731,1.3e-05,216.773638,0.001362,6e-06,216.775,0.0,0.0
24.0,225.6,226.130653,0.530653,0.002352,225.597157,0.002843,1.3e-05,225.598582,0.001418,6e-06,225.6,0.0,0.0
25.0,234.375,234.924623,0.549623,0.002345,234.372047,0.002953,1.3e-05,234.373527,0.001473,6e-06,234.375,0.0,0.0
26.0,243.1,243.668342,0.568342,0.002338,243.096937,0.003063,1.3e-05,243.098472,0.001528,6e-06,243.1,0.0,0.0
27.0,251.775,252.361809,0.586809,0.002331,251.771827,0.003173,1.3e-05,251.773418,0.001582,6e-06,251.775,0.0,0.0
28.0,260.4,261.005025,0.605025,0.002323,260.396718,0.003282,1.3e-05,260.398364,0.001636,6e-06,260.4,0.0,0.0
29.0,268.975,269.59799,0.62299,0.002316,268.97161,0.00339,1.3e-05,268.97331,0.00169,6e-06,268.975,0.0,0.0
30.0,277.5,278.140704,0.640704,0.002309,277.496503,0.003497,1.3e-05,277.498256,0.001744,6e-06,277.5,0.0,0.0
31.0,285.975,286.633166,0.658166,0.002301,285.971396,0.003604,1.3e-05,285.973203,0.001797,6e-06,285.975,0.0,0.0
32.0,294.4,295.075377,0.675377,0.002294,294.39629,0.00371,1.3e-05,294.39815,0.00185,6e-06,294.4,0.0,0.0
33.0,302.775,303.467337,0.692337,0.002287,302.771184,0.003816,1.3e-05,302.773097,0.001903,6e-06,302.775,0.0,0.0
34.0,311.1,311.809045,0.709045,0.002279,311.096079,0.003921,1.3e-05,311.098045,0.001955,6e-06,311.1,0.0,0.0
35.0,319.375,320.100503,0.725503,0.002272,319.370974,0.004026,1.3e-05,319.372993,0.002007,6e-06,319.375,0.0,0.0
36.0,327.6,328.341709,0.741709,0.002264,327.595871,0.004129,1.3e-05,327.597941,0.002059,6e-06,327.6,0.0,0.0
37.0,335.775,336.532663,0.757663,0.002256,335.770767,0.004233,1.3e-05,335.77289,0.00211,6e-06,335.775,0.0,0.0
38.0,343.9,344.673367,0.773367,0.002249,343.895665,0.004335,1.3e-05,343.897839,0.002161,6e-06,343.9,0.0,0.0
39.0,351.975,352.763819,0.788819,0.002241,351.970563,0.004437,1.3e-05,351.972788,0.002212,6e-06,351.975,0.0,0.0
40.0,360.0,360.80402,0.80402,0.002233,359.995462,0.004538,1.3e-05,359.997737,0.002263,6e-06,360.0,0.0,0.0
41.0,367.975,368.79397,0.81897,0.002226,367.970361,0.004639,1.3e-05,367.972687,0.002313,6e-06,367.975,0.0,0.0
42.0,375.9,376.733668,0.833668,0.002218,375.895261,0.004739,1.3e-05,375.897637,0.002363,6e-06,375.9,0.0,0.0
43.0,383.775,384.623116,0.848116,0.00221,383.770162,0.004838,1.3e-05,383.772588,0.002412,6e-06,383.775,0.0,0.0
44.0,391.6,392.462312,0.862312,0.002202,391.595063,0.004937,1.3e-05,391.597538,0.002462,6e-06,391.6,0.0,0.0
45.0,399.375,400.251256,0.876256,0.002194,399.369965,0.005035,1.3e-05,399.37249,0.00251,6e-06,399.375,0.0,0.0
46.0,407.1,407.98995,0.88995,0.002186,407.094867,0.005133,1.3e-05,407.097441,0.002559,6e-06,407.1,0.0,0.0
47.0,414.775,415.678392,0.903392,0.002178,414.76977,0.00523,1.3e-05,414.772393,0.002607,6e-06,414.775,0.0,0.0
48.0,422.4,423.316583,0.916583,0.00217,422.394674,0.005326,1.3e-05,422.397345,0.002655,6e-06,422.4,0.0,0.0
49.0,429.975,430.904523,0.929523,0.002162,429.969578,0.005422,1.3e-05,429.972297,0.002703,6e-06,429.975,0.0,0.0
50.0,437.5,438.442211,0.942211,0.002154,437.494483,0.005517,1.3e-05,437.49725,0.00275,6e-06,437.5,0.0,0.0
