iter,x,erro_abs,erro_rel
1,"[1.3, 0.0, 0.35]",1.3,1.0
2,"[1.3699999999999999, 0.59, 0.61]",0.59,0.43065693430656937
3,"[1.717, 0.67, 0.7715]",0.3470000000000002,0.202096680256261
4,"[1.7893000000000001, 0.8411000000000002, 0.8609]",0.17110000000000014,0.09562398703403573
5,"[1.8927300000000002, 0.8879, 0.918135]",0.10343000000000013,0.054645934708067244
6,"[1.927577, 0.9407190000000001, 0.950521]",0.05281900000000006,0.027401758788364903
7,"[1.9604637, 0.9611350000000001, 0.9706951500000001]",0.032886699999999935,0.016774959924022025
8,"[1.9747065300000002, 0.9783245100000001, 0.98237649]",0.01718951000000002,0.008704842840622002
