x,f(x),p(x),erro
0.0,0.0,-0.05046549778266233,0.05046549778266233
0.16534698176788384,0.1645945902807339,0.1550890982734689,0.009505492007264998
0.3306939635357677,0.32469946920468346,0.3378042947678077,-0.013104825563124256
0.4960409453036515,0.4759473930370735,0.49768009170035427,-0.02173269866328076
0.6613879270715354,0.6142127126896678,0.6347164890711084,-0.02050377638144063
0.8267349088394192,0.7357239106731316,0.7489134868800702,-0.013189576206938614
0.992081890607303,0.8371664782625285,0.8402710851272397,-0.0031046068647111458
1.1574288723751869,0.9157733266550574,0.9087892838126169,0.006984042842440474
1.3227758541430708,0.9694002659393304,0.9544680829362017,0.014932183003128707
1.4881228359109546,0.9965844930066698,0.9773074824979943,0.019277010508675585
1.6534698176788385,0.9965844930066698,0.9773074824979944,0.019277010508675474
1.8188167994467224,0.9694002659393304,0.9544680829362024,0.01493218300312793
1.984163781214606,0.9157733266550575,0.9087892838126179,0.006984042842439586
2.14951076298249,0.8371664782625287,0.840271085127241,-0.003104606864712367
2.3148577447503738,0.7357239106731317,0.7489134868800718,-0.013189576206940057
2.4802047265182576,0.6142127126896679,0.6347164890711103,-0.020503776381442407
2.6455517082861415,0.4759473930370737,0.4976800917003561,-0.021732698663282424
2.8108986900540254,0.3246994692046836,0.33780429476780993,-0.01310482556312631
2.9762456718219092,0.16459459028073403,0.1550890982734714,0.00950549200726264
3.141592653589793,1.2246467991473532e-16,-0.05046549778265952,0.050465497782659643

Polinomio,-0.0504655 + 1.31224*x + -0.417698*x^2
c0,-0.05046549778266233
c1,1.312236204841154
c2,-0.4176977570092369
