iter,x,g(x),erro
0,0.5908683314395271,0.6737553824554311,0.15378778418898406
1,0.6737553824554311,0.7475977705188764,0.12302246954054867
2,0.7475977705188764,0.8119415484801419,0.0987728842639464
3,0.8119415484801419,0.8668978936585413,0.07924681041598297
4,0.8668978936585413,0.913020444831375,0.06339425390280846
5,0.913020444831375,0.951153077009884,0.050516449477045436
6,0.951153077009884,0.9822861765840436,0.04009095181438684
7,0.9822861765840436,1.0074424765264942,0.03169453089773358
8,1.0074424765264942,1.0275985863126755,0.024970457895706007
9,1.0275985863126755,1.0436389421459351,0.019614769867003556
10,1.0436389421459351,1.05633478437625,0.015369640960577158
11,1.05633478437625,1.066340202836358,0.012018767551815168
12,1.066340202836358,1.074198503813569,0.009382951551010203
13,1.074198503813569,1.0803539168929388,0.00731550169667236
14,1.0803539168929388,1.0851653227662044,0.005697589450198404
15,1.0851653227662044,1.0889199925765454,0.004433799875765257
16,1.0889199925765454,1.0918462534377777,0.0034480676596421946
17,1.0918462534377777,1.0941245947609173,0.002680103404686124
18,1.0941245947609173,1.095897090737817,0.0020823417497870837
19,1.095897090737817,1.097275212766177,0.001617392720429906
20,1.097275212766177,1.098346201063167,0.0012559492936013608
21,1.098346201063167,1.099178198791548,0.0009750917296872919
22,1.099178198791548,1.0998243520227786,0.0007569270654164728
23,1.0998243520227786,1.1003260617915236,0.0005875058413119541
24,1.1003260617915236,1.1007155504172814,0.00045596463281811394
25,1.1007155504172814,1.1010178787970464,0.0003538503890584381
26,1.1010178787970464,1.1012525273951823,0.00027458989139693077
27,1.1012525273951823,1.1014346324552904,0.00021307428795732557
28,1.1014346324552904,1.101575950916978,0.0001653344236163422
29,1.101575950916978,1.1016856125502748,0.00012828753348327648
30,1.1016856125502748,1.101770705614128,9.953986150629444e-05
31,1.101770705614128,1.1018367325159295,7.723300630483736e-05
32,1.1018367325159295,1.101887964105172,5.992439701189586e-05
33,1.101887964105172,1.1019277150169826,4.6494372305879145e-05
34,1.1019277150169826,1.1019585575779631,3.607397406282628e-05
35,1.1019585575779631,1.1019824879344504,2.7988857446967182e-05
36,1.1019824879344504,1.1020010550454917,2.17157321003752e-05
37,1.1020010550454917,1.1020154608239445,1.6848541983061602e-05
38,1.1020154608239445,1.1020266378684234,1.307221083997003e-05
39,1.1020266378684234,1.102035309794351,1.0142263439709038e-05
40,1.102035309794351,1.1020420380556035,7.8690091419945e-06
