iter,x,f(x),f'(x),erro
1,1.6291899132093404,-0.08561232203302929,0.07581746970242165,0.693099008319386
2,1.1518838742303348,0.1242117451689688,0.2602350170022305,0.41436992882458024
3,1.1029990002133518,0.010249594642212728,0.20966801793642628,0.044319962218938726
4,1.1020656866450167,0.0001884183550686369,0.20188108419416648,0.0008468765334454832
5,1.1020653282508335,7.229805951136647e-08,0.20172777038807152,3.2520230337754505e-07
