iter,a,b,c,f(c),erro
0,1.05,1.3,1.175,1.9663561037164783,0.10638297872340426
1,1.05,1.175,1.1125,0.03876490066579308,0.056179775280898875
2,1.05,1.1125,1.08125,-0.2024582812231266,0.028901734104046242
3,1.08125,1.1125,1.096875,-0.11977543546056779,0.014245014245014245
4,1.096875,1.1125,1.1046875,-0.05130554330690629,0.007072135785007072
5,1.1046875,1.1125,1.10859375,-0.009149993991481864,0.003523608174770965
6,1.10859375,1.1125,1.110546875,0.014064098744377418,0.0017587055926837846
7,1.10859375,1.110546875,1.1095703125,0.002274188473304406,0.0008801267382503081
8,1.10859375,1.1095703125,1.10908203125,-0.0034832508822901787,0.00044025711015232893
9,1.10908203125,1.1095703125,1.109326171875,-0.000615914039890697,0.00022008010915973414
10,1.109326171875,1.1095703125,1.1094482421875,0.0008262857668306367,0.00011002794709856304
11,1.109326171875,1.1094482421875,1.10938720703125,0.00010447371932187366,5.50170002530782e-05
12,1.109326171875,1.10938720703125,1.109356689453125,-0.00025589810659454315,2.750925686493505e-05
13,1.109356689453125,1.10938720703125,1.1093719482421875,-7.575669142667607e-05,1.375443924526641e-05
14,1.1093719482421875,1.10938720703125,1.1093795776367188,1.4347388095359292e-05,6.877172326808731e-06
15,1.1093719482421875,1.1093795776367188,1.1093757629394532,-3.0707432948418045e-05,3.438597987319826e-06
16,1.1093757629394532,1.1093795776367188,1.109377670288086,-8.180717770756019e-06,1.7192960376759657e-06
17,1.109377670288086,1.1093795776367188,1.1093786239624024,3.083161320915906e-06,8.596472798439018e-07
