iter,a,b,c,f(c),erro
0,1.05,1.3,1.175,0.6778004561794155,0.10638297872340426
1,1.05,1.175,1.1125,-0.05891906423823556,0.056179775280898875
2,1.1125,1.175,1.14375,0.19422409084750925,0.0273224043715847
3,1.1125,1.14375,1.128125,0.04375379889683728,0.013850415512465374
4,1.1125,1.128125,1.1203125,-0.013013568265968445,0.00697350069735007
5,1.1203125,1.128125,1.12421875,0.013947302668324113,0.0034746351633078527
6,1.1203125,1.12421875,1.122265625,0.00011947414307300619,0.001740341106856944
7,1.1203125,1.122265625,1.1212890625,-0.0065328720845023724,0.0008709284096847238
8,1.1212890625,1.122265625,1.12177734375,-0.0032282824447911196,0.0004352746583093932
9,1.12177734375,1.122265625,1.122021484375,-0.0015598159815866097,0.00021758997345402322
10,1.122021484375,1.122265625,1.1221435546875,-0.0007215258759671883,0.00010878315166547005
11,1.1221435546875,1.122265625,1.12220458984375,-0.00030136485574061567,5.438861755011911e-05
12,1.12220458984375,1.122265625,1.122235107421875,-9.103013493572121e-05,2.719356926474027e-05
13,1.122235107421875,1.122265625,1.1222503662109375,1.4200805509290149e-05,1.3596599762331435e-05
14,1.122235107421875,1.1222503662109375,1.1222427368164063,-3.8419963864555484e-05,6.79834609836119e-06
15,1.1222427368164063,1.1222503662109375,1.122246551513672,-1.2110904027196057e-05,3.399161494842452e-06
16,1.122246551513672,1.1222503662109375,1.1222484588623047,1.0446195233271283e-06,1.6995778588514184e-06
17,1.122246551513672,1.1222484588623047,1.1222475051879883,-5.533225053255819e-06,8.497896515675475e-07
