iter,x,g(x),erro
0,1.1207525734854094,1.1212582862558125,0.0006714894109668037
1,1.1212582862558125,1.1215952722190283,0.00045102254904339184
2,1.1215952722190283,1.1218185491954191,0.0003004523749009212
3,1.1218185491954191,1.1219659212306734,0.00019903127520126386
4,1.1219659212306734,1.1220629455735487,0.0001313516145772302
5,1.1220629455735487,1.1221267152877101,8.646960783977258e-05
6,1.1221267152877101,1.122168581670868,5.682933423886368e-05
7,1.122168581670868,1.1221960478780073,3.730846135034612e-05
8,1.1221960478780073,1.1222140582699993,2.4475408901389262e-05
9,1.1222140582699993,1.1222258644825696,1.6048980904562812e-05
10,1.1222258644825696,1.1222336021157417,1.0520353294197004e-05
11,1.1222336021157417,1.1222386725684073,6.894850731257096e-06
12,1.1222386725684073,1.1222419949284335,4.51815891704001e-06
13,1.1222419949284335,1.1222441717424845,2.9604666740485073e-06
14,1.1222441717424845,1.1222455979390265,1.9396973544837144e-06
15,1.1222455979390265,1.1222465323255248,1.2708417342826972e-06
16,1.1222465323255248,1.1222471444878621,8.326035959858061e-07
