iter,a,b,c,f(c),erro
0,1.05,1.3,1.052253504796188,-0.21568323828996583,0.00214159875535364
1,1.052253504796188,1.3,1.0545341046711756,-0.2195961093238079,0.0021626610888024877
2,1.0545341046711756,1.3,1.0568343198301027,-0.22282857072746154,0.00217651444106856
3,1.0568343198301027,1.3,1.0591462031518155,-0.22531731413072364,0.0021827801627698966
4,1.0591462031518155,1.3,1.0614614361632015,-0.22700679580607108,0.0021811748712744186
5,1.0614614361632015,1.3,1.0637714405286447,-0.22785129409562543,0.0021715232026676594
6,1.0637714405286447,1.3,1.066067502456436,-0.22781680028550433,0.002153767864136746
7,1.066067502456436,1.3,1.0683409065655296,-0.2268826284049883,0.002127976280906611
8,1.0683409065655296,1.3,1.0705830750268663,-0.22504263506427336,0.002094343272968768
9,1.0705830750268663,1.3,1.0727857072662088,-0.22230595611492632,0.0020531893969350725
10,1.0727857072662088,1.3,1.0749409152508675,-0.21869719220877926,0.0020049548343368784
11,1.0749409152508675,1.3,1.0770413494209903,-0.2142560085384808,0.0019501889795149573
12,1.0770413494209903,1.3,1.0790803106801083,-0.2090361522700661,0.001889536153090382
13,1.0790803106801083,1.3,1.0810518445114083,-0.20310393066686672,0.0018237181142695816
14,1.0810518445114083,1.3,1.0829508141877462,-0.19653622954426808,0.0017535142422531404
15,1.0829508141877462,1.3,1.084772951121811,-0.18941818162619128,0.001679740384548115
16,1.084772951121811,1.3,1.0865148815688044,-0.18184061456870637,0.00160322741689308
17,1.0865148815688044,1.3,1.0881741300528178,-0.1738974171088543,0.001524800524280894
18,1.0881741300528178,1.3,1.089749100950723,-0.16568295870543537,0.0014452601030192234
19,1.089749100950723,1.3,1.091239040560338,-0.15728968430845924,0.0013653650155789976
20,1.091239040560338,1.3,1.0926439826517178,-0.1488059838257243,0.0012858187238354883
21,1.0926439826517178,1.3,1.0939646809261554,-0.14031440846470744,0.0012072586048385802
22,1.0939646809261554,1.3,1.0952025319865313,-0.13189027665045572,0.001130248537802966
23,1.0952025319865313,1.3,1.0963594923763014,-0.12360068365327237,0.001055274659283917
24,1.0963594923763014,1.3,1.0974379930099243,-0.11550390381569997,0.0009827440279016849
25,1.0974379930099243,1.3,1.098440853941537,-0.10764915397792407,0.0009129858271513185
26,1.098440853941537,1.3,1.0993712019508195,-0.10007667217032434,0.0008462546659687919
27,1.0993712019508195,1.3,1.1002323929125022,-0.09281805693428424,0.0007827355086346537
28,1.1002323929125022,1.3,1.1010279403997676,-0.08589680922698406,0.0007225497719672312
29,1.1010279403997676,1.3,1.101761451484232,-0.07932901986275098,0.0006657621606530656
30,1.101761451484232,1.3,1.1024365702591186,-0.07312414975351444,0.0006123878625759782
31,1.1024365702591186,1.3,1.1030569292415184,-0.06728585672496479,0.0005623997873132813
32,1.1030569292415184,1.3,1.1036261085102015,-0.06181283039160945,0.000515735595863524
33,1.1036261085102015,1.3,1.1041476022069474,-0.05669960463491819,0.00047230433295654666
34,1.1041476022069474,1.3,1.1046247918669534,-0.051937325006566226,0.0004319925313277401
35,1.1046247918669534,1.3,1.1050609259397295,-0.04751445544066257,0.00039466970783100724
36,1.1050609259397295,1.3,1.1054591048067477,-0.04341741475034766,0.0003601932131969861
37,1.1054591048067477,1.3,1.1058222705862795,-0.03963113839707333,0.0003284124304525262
38,1.1058222705862795,1.3,1.1061532010300414,-0.03613956495832937,0.000299172341999118
39,1.1061532010300414,1.3,1.106454506852099,-0.03292604965628598,0.0002723165030207957
40,1.106454506852099,1.3,1.1067286318807426,-0.02997370936732935,0.0002476894703426131
41,1.1067286318807426,1.3,1.106977855482838,-0.02726570485058133,0.00022513874226214232
42,1.106977855482838,1.3,1.1072042967727798,-0.02478546665683723,0.00020451626732462833
43,1.1072042967727798,1.3,1.1074099201811403,-0.022516871443205133,0.00018567957954256553
44,1.1074099201811403,1.3,1.1075965420188703,-0.020444375343366517,0.0001684926150002506
45,1.1075965420188703,1.3,1.107765837729774,-0.01855311073175514,0.0001528262608736876
46,1.107765837729774,1.3,1.1079193495759243,-0.016828952254492435,0.00013855868318299512
47,1.1079193495759243,1.3,1.1080584945471736,-0.015258557446916399,0.00012557547452059608
48,1.1080584945471736,1.3,1.1081845723268242,-0.013829386665776155,0.00011376965787012045
49,1.1081845723268242,1.3,1.1082987731809522,-0.012529706470349566,0.00010304157767870974
50,1.1082987731809522,1.3,1.1084021856691733,-0.011348580014548304,9.329870471039049e-05
51,1.1084021856691733,1.3,1.1084958041001693,-0.010275847479267242,8.445537696201315e-05
52,1.1084958041001693,1.3,1.1085805356765812,-0.009302099087793891,7.64324951458348e-05
53,1.1085805356765812,1.3,1.108657207291366,-0.008418642813637689,6.91571878851388e-05
54,1.108657207291366,1.3,1.1087265719519375,-0.007617468508517078,6.256245888404529e-05
55,1.1087265719519375,1.3,1.1087893148197867,-0.006891209847779578,5.658682583844987e-05
56,1.1087893148197867,1.3,1.1088460588622617,-0.006233105207765988,5.117395874883077e-05
57,1.1088460588622617,1.3,1.1088973701201392,-0.005636958349931831,4.62723235351675e-05
58,1.1088973701201392,1.3,1.1089437625998944,-0.00509709958633664,4.1834835380979614e-05
59,1.1089437625998944,1.3,1.1089857028034595,-0.004608347934411228,3.781852503522822e-05
60,1.1089857028034595,1.3,1.10902361391102,-0.004165974632851288,3.4184220322104714e-05
61,1.10902361391102,1.3,1.1090578796342314,-0.0037656682790867535,3.08962443175868e-05
62,1.1090578796342314,1.3,1.1090888477583642,-0.0034035017599052253,2.7922131031635992e-05
63,1.1090888477583642,1.3,1.1091168333924135,-0.0030759010757535066,2.5232358942445304e-05
