iter,x,f(x),erro
1,34.93123488770398,-0.4418704722174263,0.828233956821491
2,50.608975660461944,-0.49019909166896053,0.30978182364212786
3,-108.41096683829716,0.031833780141399266,1.4668252404385334
4,-98.71386506375141,-0.3550263983479745,0.09823444526544634
5,-107.61301599439003,-1.1113073125668282,0.08269586023964363
6,-94.53627252656176,-1.2599929760226793,0.13832514354904468
7,-205.3512935296219,-0.636444929904885,0.5396363426708831
8,-318.4583086406557,-0.6211522336180969,0.35517055778457424
9,-4912.590942713285,0.1923553533684929,0.9351750812648025
10,-3826.2998983701013,-0.7780831054930464,0.2839011769061577
11,-4697.271881738729,-1.2679522816377897,0.18542081559184323
12,-2442.8926161436716,0.2675619305022701,0.9228319127485022
13,-2835.716116973558,0.2997955276206058,0.13852708967536947
14,817.8236434424207,0.27995977068843275,4.46739317175685
15,52383.496535315,-0.1257769598137396,0.9843877614604999
16,36398.31925283878,-1.1825231521581945,0.4391735006068858
17,54286.09813940779,-1.2519270677363394,0.329509386374258
18,-268378.6158501613,0.21098027007343118,1.2022743055270706
19,-221843.96068696602,-1.2959700102379135,0.20976300197262626
20,-261863.54083914202,0.11262549038723757,0.15282608653321195
21,-258663.74015986267,-1.1937983820123654,0.012370503408408786
22,-261587.689235188,-0.7710085380877592,0.011177701381415057
23,-266919.86486429715,-1.177956634911439,0.019976690876192516
24,-251485.2880476285,-1.1141273213824259,0.061373676911651034
25,17922.023024422786,-1.1467030326181247,15.032193112625915
26,-9465529.570114328,0.30029341999963965,1.0018933988734247
27,-7497440.355277157,-0.5324463378423812,0.26250148338318
28,-8755818.960500346,0.16437763817051165,0.1437191210668065
29,-8458973.113957513,0.060516595777787896,0.03509242109459249
30,-8286010.281217772,-0.9578413920033803,0.020874078943855918
31,-8448694.683426125,-1.1489199187355332,0.019255566487388017
32,-7470503.395470645,-1.2494931996699017,0.13094047832821487
33,-19623267.538407564,-1.186596549778314,0.6193037993876895
34,-248895065.43439147,-0.7829961792544885,0.9211584709236421
35,-693688863.6421789,-1.175000292447611,0.6412007191126288
36,639544195.3577825,-0.8568512619966553,2.084661339556223
37,4230258985.5946865,0.06672236503321338,0.8488167751583002
38,3970852506.2923093,0.289016243274593,0.06532765417282949
39,4308120840.994949,-0.2802284023034829,0.0782866468120585
40,4142090001.1522684,-1.2883921268708978,0.04008383202598051
41,4354270643.699053,-0.9627840809482647,0.048729318847882196
42,4981663447.677729,-0.8459697779843565,0.1259404234284722
43,9525245334.690392,0.3003849691411339,0.4770041849174426
44,8334668239.473716,-0.881817977032227,0.1428463690465805
45,9222732584.942635,0.2455842737674015,0.09629080506126836
46,9029283762.939646,-1.2684984192446271,0.02142460322234995
47,9191355178.225004,-0.7387466958758637,0.017633027137207963
48,9417366189.150284,-1.2778237546972622,0.023999386493610723
49,8881631577.822392,-0.7740459176723836,0.06031939139038734
50,8058484630.145776,0.20584585979384928,0.10214661756595361
51,8231403104.489249,0.28164379281554486,0.021007168783796656
52,7588886705.684105,-0.20816988681235177,0.08466543561968017
53,7861954959.139085,0.04150237202919638,0.03473286922580919
54,7816563531.605905,-0.5680306827219133,0.0058070822746648385
55,7858864311.474066,-0.07869681874265749,0.005382556332777167
56,7865667308.468565,-1.0132957816603372,0.0008648976275890495
57,7858291473.023966,0.29412768224256347,0.0009386054805830256
58,7859950795.687066,-0.12344572861549641,0.00021111107514957354
59,7859460256.084141,-0.36378080397555124,6.241390463748012e-05
