iter,x,g(x),erro
0,1.0147847814567397,0.8409092547197458,0.5072846882052744
1,0.8409092547197458,0.9089941323334795,0.2067708563808616
2,0.9089941323334795,0.8828700467528161,0.07490133895468938
3,0.8828700467528161,0.8930171467443624,0.02958995570950379
4,0.8930171467443624,0.8890918639459174,0.011362715742401103
5,0.8890918639459174,0.8906128611677099,0.004414935011354149
6,0.8906128611677099,0.8900238682091369,0.0017078096309974858
7,0.8900238682091369,0.890252007218716,0.0006617720935485661
8,0.890252007218716,0.8901636489079752,0.0002562634037656564
9,0.8901636489079752,0.8901978713809338,9.926074924450999e-05
