iter,a,b,c,f(c),erro
0,0.5235987755982988,1.0471975511965976,0.7853981633974483,0.16436014752908806,0.3333333333333333
1,0.7853981633974483,1.0471975511965976,0.916297857297023,0.060453074558749764,0.14285714285714282
2,0.916297857297023,1.0471975511965976,0.9817477042468103,-0.0021438969973494593,0.06666666666666665
3,0.916297857297023,0.9817477042468103,0.9490227807719167,0.029937317563958843,0.034482758620689676
4,0.9490227807719167,0.9817477042468103,0.9653852425093635,0.014083956790596375,0.01694915254237286
5,0.9653852425093635,0.9817477042468103,0.9735664733780869,0.006015764631738696,0.008403361344537806
6,0.9735664733780869,0.9817477042468103,0.9776570888124486,0.0019472315344323254,0.004184100418410066
7,0.9776570888124486,0.9817477042468103,0.9797023965296294,-9.55253811731338e-05,0.0020876826722338324
8,0.9776570888124486,0.9797023965296294,0.978679742671039,0.000926557052764565,0.0010449320794148156
9,0.978679742671039,0.9797023965296294,0.9791910696003342,0.00041569156273851826,0.0005221932114882679
10,0.9791910696003342,0.9797023965296294,0.9794467330649819,0.0001601269891119972,0.0002610284521012876
11,0.9794467330649819,0.9797023965296294,0.9795745647973056,3.2311774374571556e-05,0.00013049719431029827
12,0.9795745647973056,0.9797023965296294,0.9796384806634675,-3.160406132013405e-05,6.524434005348834e-05
