Metodo,Raiz,Iteracoes,Erro
f1 - Bissecção,1.0237404283151799,12,6.243366423179647e-05
f1 - Posição Falsa,1.0237621297793345,3,1.0494392980888539e-06
f1 - Newton-Raphson,1.0237621399188404,3,1.9243937619067914e-06
f1 - Secante,1.0237621398797239,4,5.888751740658134e-07
f1 - Ponto Fixo (g1),2.6746256377920955e-11,5,236001.39009053117
f1 - Ponto Fixo (g2),-0.35995438244576206,7,-1.2042060982302452
f1 - Ponto Fixo (g3),1.0237373485511945,15,6.355894696433876e-05
