iter,a,b,c,f(c),erro
0,1.08,1.15,1.115,0.07262857794120237,0.03139013452914791
1,1.08,1.115,1.0975000000000001,-0.1150274107776248,0.015945330296127526
2,1.0975000000000001,1.115,1.1062500000000002,-0.035110769661983454,0.007909604519773942
3,1.1062500000000002,1.115,1.1106250000000002,0.015023268153964153,0.003939223410241896
4,1.1062500000000002,1.1106250000000002,1.1084375000000002,-0.010944316102765583,0.0019734987313222516
5,1.1084375000000002,1.1106250000000002,1.1095312500000003,0.0018102384311760034,0.0009857766511758945
6,1.1084375000000002,1.1095312500000003,1.1089843750000004,-0.00462383177716319,0.000493131384290295
7,1.1089843750000004,1.1095312500000003,1.1092578125000003,-0.001421059187187268,0.000246504912490732
8,1.1092578125000003,1.1095312500000003,1.1093945312500004,0.0001910159342983775,0.0001232372669495135
9,1.1092578125000003,1.1093945312500004,1.1093261718750003,-0.0006159140398871443,6.162243056476958e-05
10,1.1093261718750003,1.1093945312500004,1.1093603515625003,-0.00021267228214583156,3.081026598069679e-05
11,1.1093603515625003,1.1093945312500004,1.1093774414062505,-1.0883997013877433e-05,1.5404895675881804e-05
12,1.1093774414062505,1.1093945312500004,1.1093859863281255,9.005201090062087e-05,7.702388510645134e-06
13,1.1093774414062505,1.1093859863281255,1.109381713867188,3.958051775398985e-05,3.851209087076879e-06
14,1.1093774414062505,1.109381713867188,1.1093795776367192,1.434738810246472e-05,1.9256082514984376e-06
15,1.1093774414062505,1.1093795776367192,1.109378509521485,1.7314774822807522e-06,9.628050527418959e-07
