iter,a,b,c,f(c),erro
0,1.08,1.15,1.0933522608419717,-0.1443150573650982,0.012212222282038603
1,1.0933522608419717,1.15,1.101367945499879,-0.08287479808926435,0.007277935308230961
2,1.101367945499879,1.15,1.1055730371707129,-0.0422346824581048,0.003803540362738164
3,1.1055730371707129,1.15,1.1076174234088987,-0.02021167738019969,0.0018457512449504762
4,1.1076174234088987,1.15,1.1085737028810108,-0.009380722983145517,0.0008626214654261185
5,1.1085737028810108,1.15,1.1090128303459998,-0.004291860378589973,0.0003959624748904694
6,1.1090128303459998,1.15,1.1092127595644334,-0.0019507234106512783,0.00018024424684052543
7,1.1092127595644334,1.15,1.1093034287837606,-0.0008839829983173786,8.173527366323963e-05
8,1.1093034287837606,1.15,1.109344474690049,-0.00040003839835023314,3.70001448826364e-05
9,1.109344474690049,1.15,1.1093630411557212,-0.00018092231875499465,1.6736149469048765e-05
10,1.1093630411557212,1.15,1.109371436334987,-8.180158134862836e-05,7.56750984458217e-06
11,1.109371436334987,1.15,1.1093752317472447,-3.698082375436229e-05,3.4212159684098965e-06
12,1.1093752317472447,1.15,1.109376947503121,-1.671732345087662e-05,1.546594131170088e-06
13,1.109376947503121,1.15,1.109377723102348,-7.5569358557459054e-06,6.99129981532644e-07
