Metodo,Etapas,P1,P2,P3,P4,P5,P6,P7,P8,P9
Eliminação de Gauss,8,0.07142857142857144,0.09821428571428574,0.07142857142857144,0.18750000000000003,0.25000000000000006,0.18750000000000003,0.42857142857142866,0.5267857142857144,0.4285714285714286
Fatoração LU,26,0.07142857142857144,0.09821428571428574,0.07142857142857144,0.18750000000000003,0.25000000000000006,0.18750000000000003,0.42857142857142866,0.5267857142857144,0.4285714285714286
