Metodo,Iteracoes,x1,x2,x3,x4,x5,x6
Eliminacao de Gauss,22,38.095238095238095,14.285714285714286,4.761904761904762,38.0952380952381,14.285714285714286,4.761904761904762
Fatoracao LU,31,38.095238095238095,14.285714285714286,4.761904761904762,38.0952380952381,14.285714285714286,4.761904761904762
Gauss-Jordan,37,38.0952380952381,14.285714285714286,4.761904761904763,38.0952380952381,14.28571428571429,4.761904761904763
Gauss-Jacobi,17,38.09228782192804,14.281541970558465,4.758954490534961,38.09228782192804,14.281541970558465,4.758954490534961
Gauss-Seidel,10,38.09416337971925,14.284796958691004,4.761513268113049,38.09458944706421,14.285160629879101,4.7616684744980375
