iter,a,b,c,f(c),erro
0,5.0,9.0,5.832699072569502,0.030136579867046764,0.1427639352226464
1,5.0,5.832699072569502,5.374671263803334,0.003560831705659795,0.08521968810461708
2,5.0,5.374671263803334,5.327382838169736,0.00034945927488994055,0.008876483457277495
3,5.0,5.327382838169736,5.322806830072546,3.363006013834546e-05,0.0008596983214452367
4,5.0,5.322806830072546,5.322367059869643,3.230227367923e-06,8.262680832711941e-05
5,5.0,5.322367059869643,5.322324824690055,3.1021241830853086e-07,7.935475751577288e-06
