iter,a,b,c,f(c),erro
0,1.0,2.0,1.0810568088140502,-0.004201406508024058,0.0749792315752322
1,1.0810568088140502,2.0,1.0980257312099542,-0.0008135521119086164,0.015454029822420742
2,1.0980257312099542,2.0,1.101299633449404,-0.00015441303382915383,0.0029727624889837115
3,1.101299633449404,2.0,1.1019205941348318,-2.9195041119450815e-05,0.0005635258009813883
4,1.1019205941348318,2.0,1.1020379845040802,-5.515907233327733e-06,0.00010652116433285245
5,1.1020379845040802,2.0,1.102060162873055,-1.041993095501903e-06,2.0124463003064476e-05
6,1.102060162873055,2.0,1.1020643525010778,-1.9683457988528552e-07,3.8016183113305154e-06
