iter,x,g(x),erro
0,4.193435464866332,4.940633768650724,0.4038301004163209
1,4.940633768650724,5.201011259469329,0.15123531489532965
2,5.201011259469329,5.284536359174865,0.050062858515167355
3,5.284536359174865,5.310626231934841,0.01580556817638735
4,5.310626231934841,5.318708140439941,0.004912767651221176
5,5.318708140439941,5.321205243388484,0.0015195247213604162
6,5.321205243388484,5.321976170040472,0.0004692739397050124
7,5.321976170040472,5.32221411849019,0.00014485721607081903
8,5.32221411849019,5.322287556303534,4.4708545056740566e-05
9,5.322287556303534,5.322310220818079,1.3798167154132364e-05
10,5.322310220818079,5.322317215532147,4.258397877012624e-06
