iter,a,b,c,f(c),erro
0,5.0,9.0,7.0,0.07036383611947816,0.2857142857142857
1,5.0,7.0,6.0,0.038031195583341004,0.16666666666666666
2,5.0,6.0,5.5,0.011623567643214483,0.09090909090909091
3,5.0,5.5,5.25,-0.005114352933602073,0.047619047619047616
4,5.25,5.5,5.375,0.0035828248057335754,0.023255813953488372
5,5.25,5.375,5.3125,-0.0006810443866535065,0.011764705882352941
6,5.3125,5.375,5.34375,0.0014717333798369703,0.005847953216374269
7,5.3125,5.34375,5.328125,0.00040059716535367773,0.002932551319648094
8,5.3125,5.328125,5.3203125,-0.00013890518965764542,0.0014684287812041115
9,5.3203125,5.328125,5.32421875,0.0001311749355181746,0.0007336757153338225
10,5.3203125,5.32421875,5.322265625,-3.7828080080570814e-06,0.0003669724770642202
11,5.322265625,5.32421875,5.3232421875,6.371663324911125e-05,0.000183452577508714
12,5.322265625,5.3232421875,5.32275390625,2.997205627774946e-05,9.173470323823502e-05
13,5.322265625,5.32275390625,5.322509765625,1.309591020970391e-05,4.5869455529562866e-05
14,5.322265625,5.322509765625,5.3223876953125,4.656872639619003e-06,2.293525377858306e-05
15,5.322265625,5.3223876953125,5.32232666015625,4.371127029223487e-07,1.1467758397266086e-05
16,5.322265625,5.32232666015625,5.322296142578125,-1.672827555476708e-06,5.733912076192224e-06
