iter,x,g(x),erro
0,2.721906557941665,2.9160433068785627,0.08152614838823606
1,2.9160433068785627,3.087173546623993,0.06657539978194241
2,3.087173546623993,3.2391464923631896,0.05543265940865924
3,3.2391464923631896,3.3750434155864046,0.04691758958648436
4,3.3750434155864046,3.497332757426852,0.040265237062025554
5,3.497332757426852,3.6080031630699927,0.034966458819440806
6,3.6080031630699927,3.708669334262251,0.030673588863756145
7,3.708669334262251,3.800653784462581,0.027143474416082874
8,3.800653784462581,3.8850493328497198,0.024202270297907898
9,3.8850493328497198,3.9627668303985217,0.021723160031338305
10,3.9627668303985217,4.034571749503626,0.01961192794706677
11,4.034571749503626,4.101112414915766,0.017797407894391368
12,4.101112414915766,4.162941951643017,0.016225028402082224
13,4.162941951643017,4.220535487417276,0.014852365813760114
14,4.220535487417276,4.274303747502458,0.013646025710709832
15,4.274303747502458,4.3246038863308875,0.012579419540925065
16,4.3246038863308875,4.371748186129356,0.011631155164850408
17,4.371748186129356,4.416011095886936,0.010783855288840091
18,4.416011095886936,4.457634968822052,0.010023278654984941
19,4.457634968822052,4.496834771399507,0.00933765847276521
20,4.496834771399507,4.533801973653785,0.008717198778743513
21,4.533801973653785,4.568707783168016,0.008153687009070258
22,4.568707783168016,4.601705849291221,0.007640193063524561
23,4.601705849291221,4.632934536993947,0.007170833426540768
24,4.632934536993947,4.662518848954211,0.006740584710050322
25,4.662518848954211,4.6905720584243,0.006345135090853356
26,4.6905720584243,4.717197102977136,0.005980765058220247
27,4.717197102977136,4.742487779501296,0.00564425101847716
28,4.742487779501296,4.766529773162209,0.005332786862092824
29,4.766529773162209,4.789401546992808,0.0050439197498105956
30,4.789401546992808,4.811175113957967,0.004775497231999655
31,4.811175113957967,4.831916709479634,0.004525623459846714
32,4.831916709479634,4.85168737930492,0.004292622735192077
33,4.85168737930492,4.870543495087591,0.004075009018433221
34,4.870543495087591,4.888537208010988,0.0038714603004139448
35,4.888537208010988,4.9057168491117,0.0036807969659943536
36,4.9057168491117,4.922127283593641,0.0035019634498111075
37,4.922127283593641,4.937810225292984,0.0033340126202424086
38,4.937810225292984,4.952804516519497,0.003176092434458196
39,4.952804516519497,4.967146377722605,0.0030274344922157055
40,4.967146377722605,4.980869630781896,0.0028873441836605386
41,4.980869630781896,4.994005899178391,0.002755192180594612
42,4.994005899178391,5.006584787846055,0.002630407064328015
43,5.006584787846055,5.018634045117612,0.0025124689185731424
44,5.018634045117612,5.030179708852416,0.002400903744571551
45,5.030179708852416,5.041246238557067,0.0022952785791102376
46,5.041246238557067,5.051856635073382,0.0021951972153254526
47,5.051856635073382,5.062032549206661,0.002100296442035007
48,5.062032549206661,5.071794380494287,0.0020102427304371003
49,5.071794380494287,5.08116136716624,0.001924729307869743
50,5.08116136716624,5.090151668221062,0.0018434735673779586
51,5.090151668221062,5.098782438430276,0.0017662147693850109
52,5.098782438430276,5.107069896988498,0.0016927119980963473
53,5.107069896988498,5.115029390443337,0.0016227423405950766
54,5.115029390443337,5.122675450466843,0.0015560992610737247
55,5.122675450466843,5.130021846967132,0.0014925911464503839
56,5.130021846967132,5.137081636983694,0.0014320400028379515
57,5.137081636983694,5.1438672097615115,0.001374280285081605
58,5.1438672097615115,5.150390328356745,0.0013191578439157427
59,5.150390328356745,5.156662168089382,0.001266528977293051
60,5.156662168089382,5.162693352125384,0.0012162595741580112
61,5.162693352125384,5.168493984441816,0.001168224340405332
62,5.168493984441816,5.174073680402752,0.0011223060980418964
63,5.174073680402752,5.17944159515098,0.0010783951496611984
64,5.17944159515098,5.1846064500003175,0.0010363887012942521
65,5.1846064500003175,5.189576556995382,0.0009961903375206795
66,5.189576556995382,5.194359841789634,0.000957709543443378
67,5.194359841789634,5.198963864978248,0.0009208612687495166
68,5.198963864978248,5.203395842009582,0.0008855655296295188
69,5.203395842009582,5.207662661787611,0.000851747044795618
70,5.207662661787611,5.211770904067451,0.000819334902265949
71,5.211770904067451,5.215726855736897,0.0007882622539361976
72,5.215726855736897,5.21953652606868,0.0007584660352939096
73,5.21953652606868,5.223205661020665,0.0007298867079012273
74,5.223205661020665,5.226739756654571,0.0007024680225339012
75,5.226739756654571,5.230144071737705,0.000676156801074081
76,5.230144071737705,5.233423639586773,0.0006509027354580062
77,5.233423639586773,5.2365832792078875,0.0006266582021491376
78,5.2365832792078875,5.239627605782402,0.0006033780907600448
79,5.239627605782402,5.242561040544172,0.0005810196455859679
80,5.242561040544172,5.245387820090146,0.0005595423189322995
81,5.245387820090146,5.248112005162842,0.0005389076352271759
82,5.248112005162842,5.250737488940238,0.0005190790650076902
83,5.250737488940238,5.253268004865812,0.000500021907956005
84,5.253268004865812,5.255707134048957,0.0004817031842332294
85,5.255707134048957,5.258058312263674,0.000464091533438592
86,5.258058312263674,5.260324836571354,0.00044715712057300026
87,5.260324836571354,5.262509871591526,0.0004308715484494281
88,5.262509871591526,5.264616455442671,0.0004152077760398992
89,5.264616455442671,5.26664750537362,0.00040014004229458407
90,5.26664750537362,5.268605823104526,0.0003856437950093531
91,5.268605823104526,5.270494099895078,0.00037169562435623117
92,5.270494099895078,5.27231492135636,0.00035827320072134383
93,5.27231492135636,5.274070772021597,0.00034535521653042124
94,5.274070772021597,5.2757640396899985,0.00033292133176363465
95,5.2757640396899985,5.277397019556907,0.0003209521228893144
96,5.277397019556907,5.278971918142585,0.00030942903496873224
97,5.278971918142585,5.28049085703113,0.00029833433670407313
98,5.28049085703113,5.2819558764302394,0.0002876510782178676
99,5.2819558764302394,5.283368938561864,0.000277363051373992
