iter,x,erro
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.3125, 0.328125]",1.0
2,"[0.0, 0.0, 0.0, 0.0625, 0.09375, 0.10546875, 0.34375, 0.44140625, 0.38671875]",0.2920353982300885
3,"[0.015625, 0.02734375, 0.033203125, 0.11328125, 0.171875, 0.14794921875, 0.388671875, 0.48681640625, 0.40869140625]",0.160481444332999
4,"[0.03515625, 0.06005859375, 0.052001953125, 0.14892578125, 0.2109375, 0.16790771484375, 0.408935546875, 0.50714111328125, 0.41876220703125]",0.07702491274521603
5,"[0.05224609375, 0.07879638671875, 0.061676025390625, 0.16802978515625, 0.23046875, 0.17772674560546875, 0.418792724609375, 0.5170059204101562, 0.42368316650390625]",0.03777761381244005
6,"[0.06170654296875, 0.08846282958984375, 0.06654739379882812, 0.17774200439453125, 0.240234375, 0.1826162338256836, 0.4236869812011719, 0.5219011306762695, 0.4261293411254883]",0.018711637944424243
7,"[0.06655120849609375, 0.09333324432373047, 0.06898736953735352, 0.1826181411743164, 0.2451171875, 0.18505847454071045, 0.4261298179626465, 0.5243440866470337, 0.42735064029693604]",0.009312229553733679
8,"[0.06898784637451172, 0.09577310085296631, 0.07020789384841919, 0.18505871295928955, 0.24755859375, 0.1862792819738388, 0.4273506999015808, 0.5255649834871292, 0.427961066365242]",0.004645298539109748
9,"[0.07020795345306396, 0.09699361026287079, 0.0708182230591774, 0.1862793117761612, 0.248779296875, 0.18688964657485485, 0.4279610738158226, 0.5261753592640162, 0.42826625145971775]",0.0023199549418419165
10,"[0.070818230509758, 0.09760393761098385, 0.07112339604645967, 0.18688965030014515, 0.2493896484375, 0.18719482398591936, 0.4282662523910403, 0.5264805380720645, 0.42841884051449597]",0.0011593050803645382
11,"[0.07112339697778225, 0.09790911036543548, 0.07127598358783871, 0.18719482445158064, 0.24969482421875, 0.18734741208027117, 0.4284188406309113, 0.5266331263410393, 0.4284951346053276]",0.0005794845899085599
12,"[0.07127598370425403, 0.09806169787771069, 0.07135227748949546, 0.18734741213847883, 0.249847412109375, 0.18742370605104952, 0.42849513461987954, 0.5267094203336455, 0.42853328159617377]",0.0002897003257096537
13,"[0.07135227750404738, 0.09813799177572946, 0.07139042445669475, 0.18742370605832548, 0.2499237060546875, 0.187461853026889, 0.42853328159799275, 0.5267475673122135, 0.4285523550847756]",0.00014483967282810268
14,"[0.07139042445851373, 0.098176138742474, 0.07140949794234075, 0.1874618530277985, 0.24996185302734375, 0.18748092651361503, 0.428552355085003, 0.5267666407992806, 0.4285618918282239]",7.241721419254706e-05
15,"[0.07140949794256812, 0.09819521222806316, 0.07141903468541955, 0.18748092651372872, 0.24998092651367188, 0.18749046325682883, 0.42856189182825233, 0.526776177542537, 0.42856666019984146]",3.6207951576520984e-05
16,"[0.07141903468544797, 0.09820474897113485, 0.07142380305699092, 0.18749046325684304, 0.24999046325683594, 0.18749523162841708, 0.428566660199845, 0.5267809459141306, 0.4285690443856369]",1.810381191277382e-05
17,"[0.07142380305699447, 0.09820951734270533, 0.0714261872427806, 0.18749523162841886, 0.24999523162841797, 0.18749761581420887, 0.42856904438563737, 0.5267833300999231, 0.428570236478533]",9.051864988071585e-06
18,"[0.07142618724278105, 0.0982119015284949, 0.07142737933567594, 0.1874976158142091, 0.24999761581420898, 0.1874988079071045, 0.42857023647853304, 0.5267845221928188, 0.42857083252498085]",4.525922252026498e-06
19,"[0.071427379335676, 0.09821309362139023, 0.07142797538212368, 0.1874988079071045, 0.2499988079071045, 0.18749940395355225, 0.42857083252498085, 0.5267851182392665, 0.4285711305482047]",2.262958565519617e-06
20,"[0.07142797538212368, 0.09821368966783797, 0.07142827340534755, 0.18749940395355225, 0.24999940395355225, 0.18749970197677612, 0.4285711305482047, 0.5267854162624904, 0.42857127955981666]",1.131478642637487e-06
21,"[0.07142827340534755, 0.09821398769106184, 0.07142842241695949, 0.18749970197677612, 0.24999970197677612, 0.18749985098838806, 0.42857127955981666, 0.5267855652741024, 0.42857135406562263]",5.657391612882989e-07
22,"[0.07142842241695949, 0.09821413670267377, 0.07142849692276546, 0.18749985098838806, 0.24999985098838806, 0.18749992549419403, 0.42857135406562263, 0.5267856397799083, 0.4285713913185256]",2.828695406365553e-07
23,"[0.07142849692276546, 0.09821421120847974, 0.07142853417566844, 0.18749992549419403, 0.24999992549419403, 0.18749996274709702, 0.4285713913185256, 0.5267856770328113, 0.4285714099449771]",1.4143476031638123e-07
24,"[0.07142853417566844, 0.09821424846138273, 0.07142855280211993, 0.18749996274709702, 0.24999996274709702, 0.1874999813735485, 0.4285714099449771, 0.5267856956592628, 0.42857141925820286]",7.071737765771677e-08
25,"[0.07142855280211993, 0.09821426708783422, 0.07142856211534568, 0.1874999813735485, 0.2499999813735485, 0.18749999068677425, 0.42857141925820286, 0.5267857049724886, 0.42857142391481573]",3.5358688203739964e-08
26,"[0.07142856211534568, 0.09821427640105997, 0.07142856677195855, 0.18749999068677425, 0.24999999068677425, 0.18749999534338713, 0.42857142391481573, 0.5267857096291014, 0.42857142624312217]",1.7679343945590378e-08
27,"[0.07142856677195855, 0.09821428105767284, 0.07142856910026499, 0.18749999534338713, 0.24999999534338713, 0.18749999767169356, 0.42857142624312217, 0.5267857119574079, 0.4285714274072754]",8.839671933725288e-09
28,"[0.07142856910026499, 0.09821428338597928, 0.0714285702644182, 0.18749999767169356, 0.24999999767169356, 0.18749999883584678, 0.4285714274072754, 0.5267857131215611, 0.428571427989352]",4.41983595709517e-09
29,"[0.0714285702644182, 0.0982142845501325, 0.07142857084649482, 0.18749999883584678, 0.24999999883584678, 0.1874999994179234, 0.428571427989352, 0.5267857137036377, 0.4285714282803903]",2.209917976105716e-09
30,"[0.07142857084649482, 0.0982142851322091, 0.07142857113753312, 0.1874999994179234, 0.2499999994179234, 0.1874999997089617, 0.4285714282803903, 0.526785713994676, 0.42857142842590945]",1.1049589874423908e-09
31,"[0.07142857113753312, 0.09821428542324741, 0.07142857128305227, 0.1874999997089617, 0.2499999997089617, 0.18749999985448085, 0.42857142842590945, 0.5267857141401951, 0.428571428498669]",5.524794935685786e-10
