iter,fase,k,linha_pivo,linha_alvo,pivo,multiplicador,acao
0,eliminacao,0,0,1,-4.0,-0.25,anular_elemento
1,eliminacao,0,0,2,-4.0,-0.0,anular_elemento
2,eliminacao,0,0,3,-4.0,-0.25,anular_elemento
3,eliminacao,0,0,4,-4.0,-0.0,anular_elemento
4,eliminacao,0,0,5,-4.0,-0.0,anular_elemento
5,eliminacao,0,0,6,-4.0,-0.0,anular_elemento
6,eliminacao,0,0,7,-4.0,-0.0,anular_elemento
7,eliminacao,0,0,8,-4.0,-0.0,anular_elemento
8,eliminacao,1,1,2,-3.75,-0.26666666666666666,anular_elemento
9,eliminacao,1,1,3,-3.75,-0.06666666666666667,anular_elemento
10,eliminacao,1,1,4,-3.75,-0.26666666666666666,anular_elemento
11,eliminacao,1,1,5,-3.75,-0.0,anular_elemento
12,eliminacao,1,1,6,-3.75,-0.0,anular_elemento
13,eliminacao,1,1,7,-3.75,-0.0,anular_elemento
14,eliminacao,1,1,8,-3.75,-0.0,anular_elemento
15,eliminacao,2,2,3,-3.7333333333333334,-0.017857142857142856,anular_elemento
16,eliminacao,2,2,4,-3.7333333333333334,-0.07142857142857142,anular_elemento
17,eliminacao,2,2,5,-3.7333333333333334,-0.26785714285714285,anular_elemento
18,eliminacao,2,2,6,-3.7333333333333334,-0.0,anular_elemento
19,eliminacao,2,2,7,-3.7333333333333334,-0.0,anular_elemento
20,eliminacao,2,2,8,-3.7333333333333334,-0.0,anular_elemento
21,eliminacao,3,3,4,-3.732142857142857,-0.28708133971291866,anular_elemento
22,eliminacao,3,3,5,-3.732142857142857,-0.004784688995215311,anular_elemento
23,eliminacao,3,3,6,-3.732142857142857,-0.2679425837320574,anular_elemento
24,eliminacao,3,3,7,-3.732142857142857,-0.0,anular_elemento
25,eliminacao,3,3,8,-3.732142857142857,-0.0,anular_elemento
26,eliminacao,4,4,5,-3.4066985645933014,-0.31601123595505615,anular_elemento
27,eliminacao,4,4,6,-3.4066985645933014,-0.08426966292134831,anular_elemento
28,eliminacao,4,4,7,-3.4066985645933014,-0.29353932584269665,anular_elemento
29,eliminacao,4,4,8,-3.4066985645933014,-0.0,anular_elemento
30,eliminacao,5,5,6,-3.3918539325842696,-0.028157349896480333,anular_elemento
31,eliminacao,5,5,7,-3.3918539325842696,-0.09316770186335405,anular_elemento
32,eliminacao,5,5,8,-3.3918539325842696,-0.294824016563147,anular_elemento
33,eliminacao,6,6,7,-3.705175983436853,-0.2950379973178364,anular_elemento
34,eliminacao,6,6,8,-3.705175983436853,-0.007599463567277602,anular_elemento
35,eliminacao,7,7,8,-3.3544926240500668,-0.32835820895522394,anular_elemento
36,substituicao_regressiva,8,,8,-3.343283582089552,,calcular_x[i]
37,substituicao_regressiva,7,,7,-3.3544926240500668,,calcular_x[i]
38,substituicao_regressiva,6,,6,-3.705175983436853,,calcular_x[i]
39,substituicao_regressiva,5,,5,-3.3918539325842696,,calcular_x[i]
40,substituicao_regressiva,4,,4,-3.4066985645933014,,calcular_x[i]
41,substituicao_regressiva,3,,3,-3.732142857142857,,calcular_x[i]
42,substituicao_regressiva,2,,2,-3.7333333333333334,,calcular_x[i]
43,substituicao_regressiva,1,,1,-3.75,,calcular_x[i]
44,substituicao_regressiva,0,,0,-4.0,,calcular_x[i]
45,retrosubstituicao,8,,,,,solucao_obtida
