Metodo,Iteracoes,u1,u2,u3,u4,u5,u6,u7,u8,u9
Eliminacao de Gauss,46,32.14285714285714,50.0,67.85714285714285,28.57142857142857,50.0,71.42857142857143,32.142857142857146,50.00000000000001,67.85714285714286
Fatoracao LU,58,32.14285714285714,50.0,67.85714285714285,28.57142857142857,50.0,71.42857142857143,32.142857142857146,50.00000000000001,67.85714285714286
Gauss-Jordan,82,32.14285714285714,50.0,67.85714285714285,28.571428571428577,50.00000000000001,71.42857142857142,32.142857142857146,50.00000000000001,67.85714285714285
Gauss-Jacobi,32,32.142284938267366,49.999237060546875,67.85657065255295,28.570665631975523,49.99885559082031,71.42780848911823,32.142284938267366,49.999237060546875,67.85657065255295
Gauss-Seidel,18,32.14243991034381,49.999582767486594,67.85693424088615,28.57101133891517,49.999582767486565,71.42836281231472,32.14264852660043,49.999791383743286,67.8570385490145
