iter,x,erro
1,"[12.5, 15.625, 41.40625, 3.125, 4.6875, 36.5234375, 13.28125, 16.9921875, 50.87890625]",1.0
2,"[17.1875, 28.3203125, 53.7109375, 8.7890625, 22.65625, 56.8115234375, 18.9453125, 35.6201171875, 60.60791015625]",0.3347432024169184
3,"[21.77734375, 37.0361328125, 60.9619140625, 15.8447265625, 36.328125, 64.4744873046875, 25.3662109375, 43.0755615234375, 64.38751220703125]",0.212050930089459
4,"[25.72021484375, 43.2525634765625, 64.4317626953125, 21.8536376953125, 43.1640625, 67.99583435058594, 28.7322998046875, 46.57096862792969, 66.1417007446289]",0.100534651354581
5,"[28.77655029296875, 46.59309387207031, 66.14723205566406, 25.168228149414062, 46.58203125, 69.71774101257324, 30.434799194335938, 48.28963279724121, 67.00184345245361]",0.04902581036559384
6,"[30.440330505371094, 48.29239845275879, 67.00253486633301, 26.864290237426758, 48.291015625, 70.57384848594666, 31.288480758666992, 49.14533495903015, 67.4297958612442]",0.024215547425337155
7,"[31.289172172546387, 49.14568066596985, 67.42988228797913, 27.717167139053345, 49.1455078125, 71.00129649043083, 31.715625524520874, 49.57273229956627, 67.64350719749928]",0.012034881470300528
8,"[31.7157119512558, 49.57277551293373, 67.64351800084114, 28.144211322069168, 49.57275390625, 71.2149447761476, 31.92923590540886, 49.786374252289534, 67.75032975710928]",0.005999388121313264
9,"[31.929246708750725, 49.786379653960466, 67.75033110752702, 28.357809130102396, 49.786376953125, 71.32175945444033, 32.03604584559798, 49.89318813895807, 67.8037368983496]",0.002995201583767159
10,"[32.036047196015716, 49.89318881416693, 67.80373706715181, 28.464617498684675, 49.8931884765625, 71.37516561051598, 32.089451409410685, 49.946594196080696, 67.83043995164917]",0.0014964802186289154
11,"[32.0894515782129, 49.946594280481804, 67.83043997274945, 28.518022866046522, 49.94659423828125, 71.40186854066997, 32.116154265531804, 49.973297113865556, 67.84379141363388]",0.0007479602818563562
12,"[32.11615428663208, 49.973297124415694, 67.84379141627142, 28.544725697611284, 49.973297119140625, 71.41521998726148, 32.12950570286921, 49.98664855891093, 67.8504671365431]",0.0003739102233968902
13,"[32.129505705506745, 49.986648560229696, 67.8504671368728, 28.558077131879145, 49.98664855957031, 71.42189570824655, 32.13618142269752, 49.99332427970273, 67.85380499698732]",0.0001869376372230051
14,"[32.13618142302721, 49.99332427986758, 67.85380499702853, 28.56475285132376, 49.993324279785156, 71.42523356845025, 32.13951928275662, 49.996662139882275, 67.85547392708312]",9.346445060548643e-05
15,"[32.139519282797835, 49.99666213990288, 67.85547392708828, 28.568090711334904, 49.99666213989258, 71.426902498516, 32.141188212804295, 49.998331069944996, 67.85630839211525]",4.673113337780851e-05
16,"[32.141188212809446, 49.998331069947575, 67.85630839211589, 28.56975964137658, 49.99833106994629, 71.42773696354436, 32.1420226778304, 49.99916553497299, 67.85672562462933]",2.3365293717239482e-05
17,"[32.14202267783104, 49.9991655349733, 67.85672562462942, 28.57059410640193, 49.999165534973145, 71.42815419605797, 32.142439910343725, 49.99958276748655, 67.85693424088613]",1.1682578616899522e-05
18,"[32.14243991034381, 49.999582767486594, 67.85693424088615, 28.57101133891517, 49.999582767486565, 71.42836281231472, 32.14264852660043, 49.999791383743286, 67.8570385490145]",5.841272248069717e-06
