grupo,temperatura,integral,eficiencia
temperaturas_i,2000.0,199056799613.66232,0.8058068069360568
temperaturas_i,2250.0,723633833320.4535,1.8287851587176402
temperaturas_i,2500.0,2066290209382.986,3.4261405916604417
temperaturas_i,2750.0,4940480576943.835,5.595157523664706
temperaturas_i,3000.0,10323935190549.766,8.255324472739607
temperaturas_ii,2000.0,199056799613.66232,0.8058068069360568
temperaturas_ii,2200.0,571359297748.7772,1.5797649458365335
temperaturas_ii,2400.0,1391463763089.6897,2.7164444666075664
temperaturas_ii,2600.0,2983145774389.4434,4.228194736861547
temperaturas_ii,2800.0,5780757160660.749,6.091531544408526
temperaturas_ii,3000.0,10323935190549.766,8.255324472739607
