temperatura,subintervalos,Q,erro_relativo
2000.0,4,1631713.2749896531,
2000.0,8,1631916.2694267242,0.0001243902281471457
2000.0,16,1631928.7523562277,7.649187800338671e-06
6000.0,4,19005327922.74222,
6000.0,8,19005309116.811516,9.89509330810569e-07
