x,C_tabela,C_ajustado,residuo
polinomio,0.650167 + -0.231742*x + 0.564394*x^2,,
0.1,0.62,0.6326363636363637,-0.012636363636363668
0.2,0.63,0.6263939393939395,0.0036060606060605016
0.3,0.64,0.6314393939393942,0.008560606060605824
0.4,0.66,0.6477727272727276,0.01222727272727242
0.5,0.68,0.6753939393939397,0.0046060606060603915
0.6,0.71,0.7143030303030306,-0.004303030303030586
0.7,0.76,0.7645000000000002,-0.0045000000000001705
0.8,0.81,0.8259848484848487,-0.0159848484848486
0.9,0.89,0.8987575757575756,-0.00875757575757563
1.0,1.0,0.9828181818181816,0.01718181818181841
